
Cluster number: 39,	entropy: 0.4808806792755111

Cluster number: 19,	entropy: 0.028203652133430734

Cluster number: 34,	entropy: 0.535679615239211

Cluster number: 101,	entropy: 1.5795314231865194

Cluster number: 4,	entropy: 0.7770060329310987

Cluster number: 71,	entropy: 0.7001871266937578

Cluster number: 134,	entropy: 0.2574863135767497

Cluster number: 130,	entropy: 0.12194532087282746

Cluster number: 66,	entropy: 0.35726083839549017

Cluster number: 80,	entropy: 0.1927918285514358

Cluster number: 105,	entropy: 1.1914892959328551

Cluster number: 125,	entropy: 1.0766049320088678

Cluster number: 138,	entropy: 0.5926834627379272

Cluster number: 65,	entropy: 0.4432305722670394

Cluster number: 104,	entropy: 2.8667962651178396

Cluster number: 14,	entropy: 0.660874232558412

Cluster number: 11,	entropy: 0.3147006016768169

Cluster number: 24,	entropy: 0.6663561500852114

Cluster number: 111,	entropy: 0.3525133373808326

Cluster number: 35,	entropy: 0.3064156462277894

Cluster number: 37,	entropy: 0.3491299011435697

Cluster number: 146,	entropy: 0.3533965681059783

Cluster number: 140,	entropy: 1.6361154362423997

Cluster number: 74,	entropy: 0.3253007190818688

Cluster number: 63,	entropy: 0.38267846331592736

Cluster number: 90,	entropy: 0.5045926025752385

Cluster number: 17,	entropy: 0.40853983982597997

Cluster number: 20,	entropy: 1.1042139042898933

Cluster number: 12,	entropy: 0.24360824230174183

Cluster number: 38,	entropy: 0.13411542806545979

Cluster number: 18,	entropy: 0.24770907400195816

Cluster number: 103,	entropy: 0.21501241982976246

Cluster number: 94,	entropy: 0.2318683473451792

Cluster number: 99,	entropy: 3.008787971075906

Cluster number: 145,	entropy: 1.9001388200073046

Cluster number: 100,	entropy: 0.18340969451224606

Cluster number: 41,	entropy: 0.36580582961164587

Cluster number: 21,	entropy: 0.45585096744899845

Cluster number: 112,	entropy: 1.4940089697637127

Cluster number: 139,	entropy: 0.5135605004045661

Cluster number: 120,	entropy: 0.719315639780881

Cluster number: 77,	entropy: 0.36626761523479007

Cluster number: 53,	entropy: 1.3845802221849906

Cluster number: 131,	entropy: 0.5270182438308952

Cluster number: 59,	entropy: 0.6613876377273404

Cluster number: 46,	entropy: 0.22115162475848454

Cluster number: 142,	entropy: 0.2121497840767174

Cluster number: 62,	entropy: 0.4853079620518656

Cluster number: 93,	entropy: 2.8382187036856714

Cluster number: 33,	entropy: 1.3320973740294215

Cluster number: 126,	entropy: 0.32340281137280086

Cluster number: 23,	entropy: 1.6998281242039321

Cluster number: 113,	entropy: 0.41028555827860147

Cluster number: 118,	entropy: 1.1438405630105635

Cluster number: 40,	entropy: 1.3060719200462056

Cluster number: 6,	entropy: 0.21785175688614686

Cluster number: 67,	entropy: 1.5464108327420663

Cluster number: 69,	entropy: 1.0516990566138675

Cluster number: 135,	entropy: 0.6240010474409968

Cluster number: 86,	entropy: 0.18378003666276038

Cluster number: 60,	entropy: 0.40814407851145157

Cluster number: 58,	entropy: 0.5348970093213947

Cluster number: 85,	entropy: 2.3684269675771343

Cluster number: 91,	entropy: 0.5736146760782926

Cluster number: 136,	entropy: 0.047276783365502846

Cluster number: 87,	entropy: 1.744463380246818

Cluster number: 26,	entropy: 0.2471918594882601

Cluster number: 2,	entropy: 0.4857265659278312

Cluster number: 123,	entropy: 0.11282611485334246

Cluster number: 119,	entropy: 2.5081919464583384

Cluster number: 13,	entropy: 0.2966250489132318

Cluster number: 96,	entropy: 0.48262431860081423

Cluster number: 137,	entropy: 1.2391819411359157

Cluster number: 52,	entropy: 0.28572907539239917

Cluster number: 81,	entropy: 2.0123204316856205

Cluster number: 16,	entropy: 1.9524996860838568

Cluster number: 55,	entropy: 0.3430219994675085

Cluster number: 82,	entropy: 0.2115937066794427

