
Cluster number: 39,	entropy: 0.2802516589580538

Cluster number: 19,	entropy: 0.1933672199910773

Cluster number: 34,	entropy: 0.26601388058167885

Cluster number: 101,	entropy: 0.06225571317912645

Cluster number: 4,	entropy: 0.11200261859501748

Cluster number: 71,	entropy: 0.5221608388553395

Cluster number: 134,	entropy: 0.6110978467918795

Cluster number: 130,	entropy: 0.4013987695675585

Cluster number: 66,	entropy: 1.4942208490079338

Cluster number: 80,	entropy: 0.6644304300148882

Cluster number: 105,	entropy: 0.12540061035257707

Cluster number: 125,	entropy: 0.36625765220141177

Cluster number: 138,	entropy: 0.277987164150759

Cluster number: 65,	entropy: 0.12871168204139663

Cluster number: 11,	entropy: 0.4596256618445289

Cluster number: 14,	entropy: 0.27740491417893703

Cluster number: 104,	entropy: 0.37336756074956967

Cluster number: 24,	entropy: 0.9392900437859782

Cluster number: 111,	entropy: 0.09913976937399671

Cluster number: 35,	entropy: 0.4102794232663671

Cluster number: 37,	entropy: 0.1546540160026551

Cluster number: 146,	entropy: 0.10653398109918967

Cluster number: 140,	entropy: 0.266140858951844

Cluster number: 1,	entropy: 0.5595432459331484

Cluster number: 74,	entropy: 0.281486612014698

Cluster number: 90,	entropy: 0.09736619226458085

Cluster number: 89,	entropy: 0.0698664920896002

Cluster number: 17,	entropy: 0.35492165875333437

Cluster number: 18,	entropy: 0.3779671837388648

Cluster number: 63,	entropy: 1.4663937951695847

Cluster number: 38,	entropy: 0.23764528068062546

Cluster number: 20,	entropy: 0.3946075934556211

Cluster number: 12,	entropy: 0.644911111968846

Cluster number: 103,	entropy: 0.5744082885653434

Cluster number: 94,	entropy: 0.268653736072302

Cluster number: 99,	entropy: 0.1798482504760046

Cluster number: 145,	entropy: 0.32382535576671106

Cluster number: 100,	entropy: 0.14499876964691502

Cluster number: 41,	entropy: 0.33992006555711546

Cluster number: 21,	entropy: 0.16198140169256067

Cluster number: 139,	entropy: 0.6371340092267489

